index,q07_02_1,q07_02_1,q07_02_2,q07_02_2,q07_02_3,q07_02_3,q07_02_4,q07_02_4,q07_02_6,q07_02_6
,group_wa3,count,group_wa3,count,group_wa3,count,group_wa3,count,group_wa3,count
Rural,0.11462071382472858,5535,0.4458475319199882,5535,0.1423658660667966,5535,0.001147846866461335,5535,0.0035016994313228347,2589
Urban,0.015483632426608416,4555,0.025399490984791946,4555,0.008450256169667688,4555,0.0,4555,0.005920017846727357,220
!Karas,0.00250770554889923,559,0.0005227906908459772,559,0.0,559,0.0,559,0.0,22
Erongo,0.0006716657034954976,828,0.005913901352990726,828,0.0006997773079227257,828,0.0,828,0.0,13
Hardap,0.0016567109093559298,561,0.004921241798164014,561,0.0009496621165429762,561,0.0,561,0.0,20
Kavango East,0.1597114974074488,554,0.2287054859941335,554,0.014734184555565594,554,0.0,554,0.016136546118383614,135
Kavango West,0.35869046711086044,568,0.5265868743059228,568,0.09305557739713949,568,0.0,568,0.0,368
Khomas,0.012091214886544355,1084,0.009234133111396967,1084,0.010052957078909052,1084,0.0,1084,0.019873925691519176,35
Kunene,0.026735992741705652,570,0.008339420345032225,570,0.002705824350880817,570,0.0028594133631494397,570,0.28139192506233973,18
Ohangwena,0.11411578210328742,854,0.6662821169661526,854,0.2533280798072141,854,0.0,854,0.0,592
Omaheke,0.023369807458045677,557,0.0,557,0.0,557,0.0,557,0.0,23
Omusati,0.08437232416070888,854,0.5904266929832802,854,0.2554653529726435,854,0.0,854,0.0,537
Oshana,0.04199653659567786,846,0.3893849587136111,846,0.11185092194956246,846,0.0,846,0.0027135628131441255,353
Oshikoto,0.07047842007055308,852,0.5191748752534431,852,0.08730899372856192,852,0.005442433478432018,852,0.0,480
Otjozondjupa,0.013536129292403927,837,0.002033682131277515,837,0.0032279531375111496,837,0.0,837,0.0,50
Zambezi,0.27686524396747014,566,0.04031030944832746,566,0.01966503021908565,566,0.0,566,0.009731898049343681,163
Female,0.0681212072008755,4616,0.2823538619773881,4616,0.08880914114718388,4616,0.000852254560829477,4616,0.002482396097769232,1552
Male,0.0553204911588389,5474,0.16782769927166458,5474,0.05498118846849249,5474,0.0002702387085540243,5474,0.005217313889298616,1257
0-18,0.05776238409160398,37,0.24004644362291044,37,0.019859830355876656,37,0.0,37,0.0,11
18-59,0.050457262430807476,7809,0.15688323365037862,7809,0.04917013545478927,7809,0.0003851091301289982,7809,0.005065990948474641,1650
60+,0.10641894673351251,2244,0.4830987591692044,2244,0.16049222658139797,2244,0.0011493749143143411,2244,0.001624144931942911,1148
No formal education,0.08766009679002285,1905,0.33472863136689457,1905,0.10409423339972386,1905,0.0006014502030835567,1905,0.0033808290929349238,702
Not stated,0.024757892786333148,55,0.24725906420906404,55,0.07002593491548842,55,0.0,55,0.0,19
Primary,0.09178670359538513,2725,0.3595889696543231,2725,0.11607459725036195,2725,0.0012064004202749562,2725,0.001949292666843931,1092
Secondary,0.04754566010954448,4170,0.14431183072756518,4170,0.04789293096731391,4170,0.0001220722901725578,4170,0.004165620247717989,843
Tertiary,0.02052640860905835,946,0.07830223639913293,946,0.02221665933108536,946,0.0007242232539626134,946,0.018119372742998217,123
1,0.11093161294813286,675,0.2467509625539792,675,0.05822688588621576,675,0.0,675,0.006698072440438758,210
2,0.0997310807734223,765,0.33884725990571674,765,0.10845404323393175,765,0.0,765,0.013983433940193938,294
3,0.10583445919768177,839,0.39294769854550426,839,0.12192797345978769,839,0.0,839,0.0,352
4,0.08018023077583993,854,0.3336641575236233,854,0.10276465719660229,854,0.002618105517432474,854,0.0,300
5,0.07490208190460117,950,0.314061302367438,950,0.10357272230009702,950,0.001328559810073983,950,0.0,355
6,0.08251014630836376,1008,0.27528551397212087,1008,0.07980679465718682,1008,0.0011986950564940937,1008,0.001426261073886248,342
7,0.0631885124497749,1101,0.220800647743595,1101,0.07357468448840057,1101,0.0,1101,0.0,307
8,0.03727462710848587,1197,0.181522728812753,1197,0.06804725424087824,1197,0.000659042468582529,1197,0.0033958693719219504,281
9,0.032897375293889065,1283,0.10953912733886917,1283,0.03738039870713658,1283,0.0,1283,0.013180641031055259,206
10,0.018095147895698244,1418,0.058194982798549934,1418,0.021757000719489224,1418,0.0,1418,0.005734934447135476,162
Afrikaans,0.003087218642540567,715,0.0,715,0.0,715,0.0,715,0.0,21
English,0.0,111,0.0,111,0.0,111,0.0,111,0.0,2
German,0.012352759820834317,33,0.0,33,0.0,33,0.0,33,0.0,4
Khoisan,0.016334894347183583,146,0.02157109465251519,146,0.0017727068811829547,146,0.0,146,0.0,15
Nama/Damara,0.0067407651204188825,1292,0.0,1292,0.0,1292,0.0009711549410335471,1292,0.03880764072863172,31
Oshiwambo,0.05714752604725222,4610,0.37066318591816766,4610,0.12638317561243329,4610,0.0008042771850452532,4610,0.0016786614139478006,1989
Other,0.01380558681465448,165,0.021204321461066915,165,0.01250138600350259,165,0.0,165,0.0,13
Other African,0.022220606929495124,108,0.01666363533569773,108,0.0,108,0.0,108,0.0,9
Other European,0.0,35,0.0,35,0.0,35,0.0,35,0.0,0
Otjiherero,0.025005317512849796,1000,0.01749341099025479,1000,0.006602091814659896,1000,0.0,1000,0.04644276306692154,61
Rukavango,0.18568683643956316,1272,0.2567648265702063,1272,0.03586010639683165,1272,0.0,1272,0.006558400774852063,511
Setswana,0.0,31,0.0,31,0.0,31,0.0,31,0.0,0
Zambezi languages,0.2409204539831172,572,0.03206103138054037,572,0.015401287635190136,572,0.0,572,0.009996161537886733,153
